区分,種類,対象,時間軸(年次),管区警察局,/認知・検挙件数・検挙人員,認知件数【件】,検挙件数【件】,検挙率【%】,検挙人員【人】
重要窃盗犯,すり,,2015年,中部管区,,238,81,34,41
重要窃盗犯,すり,,2015年,富山県,,10,4,40,1
重要窃盗犯,すり,,2015年,石川県,,25,12,48,11
重要窃盗犯,すり,,2015年,福井県,,3,1,33.3,2
重要窃盗犯,すり,,2015年,岐阜県,,19,4,21.1,2
重要窃盗犯,すり,,2015年,愛知県,,172,58,33.7,25
重要窃盗犯,すり,,2015年,三重県,,9,2,22.2,0
重要窃盗犯,すり,,2015年,近畿管区,,981,233,23.8,176
重要窃盗犯,すり,,2015年,滋賀県,,12,4,33.3,6
重要窃盗犯,すり,,2015年,京都府,,41,18,43.9,20
重要窃盗犯,すり,,2015年,大阪府,,774,123,15.9,90
重要窃盗犯,すり,,2015年,兵庫県,,133,74,55.6,52
重要窃盗犯,すり,,2015年,奈良県,,12,3,25,3
重要窃盗犯,すり,,2015年,和歌山県,,9,11,122.2,5
重要窃盗犯,すり,,2015年,中国管区,,51,25,49,16
重要窃盗犯,すり,,2015年,鳥取県,,0,0,0,0
重要窃盗犯,すり,,2015年,島根県,,1,0,0,0
重要窃盗犯,すり,,2015年,岡山県,,14,7,50,2
重要窃盗犯,すり,,2015年,広島県,,34,16,47.1,10
重要窃盗犯,すり,,2015年,山口県,,2,2,100,4
重要窃盗犯,すり,,2015年,四国管区,,50,26,52,15
重要窃盗犯,すり,,2015年,徳島県,,2,1,50,1
重要窃盗犯,すり,,2015年,香川県,,8,2,25,1
重要窃盗犯,すり,,2015年,愛媛県,,28,12,42.9,9
重要窃盗犯,すり,,2015年,高知県,,12,11,91.7,4
重要窃盗犯,すり,,2015年,九州管区,,210,100,47.6,94
