区分,種類,対象,時間軸(年次),管区警察局,/認知・検挙件数・検挙人員,認知件数【件】,検挙件数【件】,検挙率【%】,検挙人員【人】
重要犯罪,強盗,,2008年,長野県,,38,34,89.5,35
重要犯罪,強盗,,2008年,静岡県,,103,71,68.9,71
重要犯罪,強盗,,2008年,中部管区,,525,288,54.9,280
重要犯罪,強盗,,2008年,富山県,,11,9,81.8,14
重要犯罪,強盗,,2008年,石川県,,8,4,50,3
重要犯罪,強盗,,2008年,福井県,,9,10,111.1,15
重要犯罪,強盗,,2008年,岐阜県,,72,48,66.7,39
重要犯罪,強盗,,2008年,愛知県,,386,184,47.7,180
重要犯罪,強盗,,2008年,三重県,,39,33,84.6,29
重要犯罪,強盗,,2008年,近畿管区,,927,481,51.9,553
重要犯罪,強盗,,2008年,滋賀県,,32,23,71.9,40
重要犯罪,強盗,,2008年,京都府,,90,74,82.2,74
重要犯罪,強盗,,2008年,大阪府,,563,251,44.6,274
重要犯罪,強盗,,2008年,兵庫県,,204,104,51,126
重要犯罪,強盗,,2008年,奈良県,,22,16,72.7,19
重要犯罪,強盗,,2008年,和歌山県,,16,13,81.3,20
重要犯罪,強盗,,2008年,中国管区,,131,102,77.9,114
重要犯罪,強盗,,2008年,鳥取県,,8,6,75,5
重要犯罪,強盗,,2008年,島根県,,9,8,88.9,13
重要犯罪,強盗,,2008年,岡山県,,35,31,88.6,34
重要犯罪,強盗,,2008年,広島県,,56,34,60.7,36
重要犯罪,強盗,,2008年,山口県,,23,23,100,26
重要犯罪,強盗,,2008年,四国管区,,59,54,91.5,52
重要犯罪,強盗,,2008年,徳島県,,4,2,50,4
重要犯罪,強盗,,2008年,香川県,,13,10,76.9,6
重要犯罪,強盗,,2008年,愛媛県,,26,26,100,26
重要犯罪,強盗,,2008年,高知県,,16,16,100,16
重要犯罪,強盗,,2008年,九州管区,,340,236,69.4,252
重要犯罪,強盗,,2008年,福岡県,,218,138,63.3,134
重要犯罪,強盗,,2008年,佐賀県,,13,8,61.5,9
重要犯罪,強盗,,2008年,長崎県,,8,9,112.5,14
重要犯罪,強盗,,2008年,熊本県,,22,20,90.9,31
重要犯罪,強盗,,2008年,大分県,,16,17,106.3,10
重要犯罪,強盗,,2008年,宮崎県,,9,7,77.8,13
重要犯罪,強盗,,2008年,鹿児島県,,16,11,68.8,9
重要犯罪,強盗,,2008年,沖縄県,,38,26,68.4,32
重要犯罪,強盗,,2007年,全国,,"4,567","2,790",61.1,"2,985"
重要犯罪,強盗,,2007年,北海道,,176,123,69.9,126
重要犯罪,強盗,,2007年,札幌方面,,126,82,65.1,72
重要犯罪,強盗,,2007年,函館方面,,16,12,75,15
重要犯罪,強盗,,2007年,旭川方面,,14,14,100,17
重要犯罪,強盗,,2007年,釧路方面,,16,12,75,19
重要犯罪,強盗,,2007年,北見方面,,4,3,75,3
重要犯罪,強盗,,2007年,東北管区,,133,100,75.2,102
重要犯罪,強盗,,2007年,青森県,,11,7,63.6,6
重要犯罪,強盗,,2007年,岩手県,,14,11,78.6,14
重要犯罪,強盗,,2007年,宮城県,,62,36,58.1,41
重要犯罪,強盗,,2007年,秋田県,,7,13,185.7,10
重要犯罪,強盗,,2007年,山形県,,10,11,110,9
重要犯罪,強盗,,2007年,福島県,,29,22,75.9,22
重要犯罪,強盗,,2007年,東京都,,600,421,70.2,469
重要犯罪,強盗,,2007年,関東管区,,"1,418",800,56.4,872
重要犯罪,強盗,,2007年,茨城県,,112,67,59.8,58
重要犯罪,強盗,,2007年,栃木県,,72,41,56.9,46
重要犯罪,強盗,,2007年,群馬県,,49,32,65.3,35
重要犯罪,強盗,,2007年,埼玉県,,410,208,50.7,177
重要犯罪,強盗,,2007年,千葉県,,254,134,52.8,179
重要犯罪,強盗,,2007年,神奈川県,,310,189,61,224
重要犯罪,強盗,,2007年,新潟県,,44,24,54.5,29
重要犯罪,強盗,,2007年,山梨県,,20,11,55,15
重要犯罪,強盗,,2007年,長野県,,31,25,80.6,31
重要犯罪,強盗,,2007年,静岡県,,116,69,59.5,78
重要犯罪,強盗,,2007年,中部管区,,483,291,60.2,306
重要犯罪,強盗,,2007年,富山県,,11,9,81.8,8
重要犯罪,強盗,,2007年,石川県,,12,13,108.3,18
重要犯罪,強盗,,2007年,福井県,,8,3,37.5,6
重要犯罪,強盗,,2007年,岐阜県,,60,42,70,52
重要犯罪,強盗,,2007年,愛知県,,358,197,55,192
重要犯罪,強盗,,2007年,三重県,,34,27,79.4,30
重要犯罪,強盗,,2007年,近畿管区,,"1,193",604,50.6,639
重要犯罪,強盗,,2007年,滋賀県,,29,23,79.3,37
重要犯罪,強盗,,2007年,京都府,,95,71,74.7,78
重要犯罪,強盗,,2007年,大阪府,,679,283,41.7,297
重要犯罪,強盗,,2007年,兵庫県,,329,179,54.4,163
重要犯罪,強盗,,2007年,奈良県,,37,31,83.8,29
重要犯罪,強盗,,2007年,和歌山県,,24,17,70.8,35
重要犯罪,強盗,,2007年,中国管区,,135,117,86.7,140
重要犯罪,強盗,,2007年,鳥取県,,9,9,100,10
重要犯罪,強盗,,2007年,島根県,,8,7,87.5,4
重要犯罪,強盗,,2007年,岡山県,,23,22,95.7,25
重要犯罪,強盗,,2007年,広島県,,74,60,81.1,79
重要犯罪,強盗,,2007年,山口県,,21,19,90.5,22
重要犯罪,強盗,,2007年,四国管区,,75,64,85.3,64
重要犯罪,強盗,,2007年,徳島県,,9,9,100,9
重要犯罪,強盗,,2007年,香川県,,22,20,90.9,19
重要犯罪,強盗,,2007年,愛媛県,,19,13,68.4,21
重要犯罪,強盗,,2007年,高知県,,25,22,88,15
重要犯罪,強盗,,2007年,九州管区,,354,270,76.3,267
重要犯罪,強盗,,2007年,福岡県,,220,150,68.2,126
重要犯罪,強盗,,2007年,佐賀県,,14,12,85.7,17
重要犯罪,強盗,,2007年,長崎県,,13,10,76.9,9
重要犯罪,強盗,,2007年,熊本県,,37,35,94.6,40
重要犯罪,強盗,,2007年,大分県,,10,7,70,9
重要犯罪,強盗,,2007年,宮崎県,,10,9,90,15
重要犯罪,強盗,,2007年,鹿児島県,,16,15,93.8,13
重要犯罪,強盗,,2007年,沖縄県,,34,32,94.1,38
重要犯罪,強盗,,2006年,全国,,"5,108","3,061",59.9,"3,335"
重要犯罪,強盗,,2006年,北海道,,226,132,58.4,118
重要犯罪,強盗,,2006年,札幌方面,,180,101,56.1,85
重要犯罪,強盗,,2006年,函館方面,,18,13,72.2,15
重要犯罪,強盗,,2006年,旭川方面,,6,4,66.7,3
重要犯罪,強盗,,2006年,釧路方面,,11,7,63.6,8
重要犯罪,強盗,,2006年,北見方面,,11,7,63.6,7
重要犯罪,強盗,,2006年,東北管区,,174,137,78.7,127
重要犯罪,強盗,,2006年,青森県,,22,19,86.4,18
重要犯罪,強盗,,2006年,岩手県,,21,18,85.7,20
重要犯罪,強盗,,2006年,宮城県,,68,56,82.4,45
重要犯罪,強盗,,2006年,秋田県,,13,6,46.2,7
重要犯罪,強盗,,2006年,山形県,,11,9,81.8,7
重要犯罪,強盗,,2006年,福島県,,39,29,74.4,30
重要犯罪,強盗,,2006年,東京都,,668,473,70.8,539
重要犯罪,強盗,,2006年,関東管区,,"1,603",949,59.2,990
重要犯罪,強盗,,2006年,茨城県,,127,66,52,88
重要犯罪,強盗,,2006年,栃木県,,82,38,46.3,51
重要犯罪,強盗,,2006年,群馬県,,91,46,50.5,59
重要犯罪,強盗,,2006年,埼玉県,,429,237,55.2,210
重要犯罪,強盗,,2006年,千葉県,,306,186,60.8,179
重要犯罪,強盗,,2006年,神奈川県,,345,229,66.4,237
重要犯罪,強盗,,2006年,新潟県,,51,37,72.5,39
重要犯罪,強盗,,2006年,山梨県,,47,24,51.1,17
重要犯罪,強盗,,2006年,長野県,,38,29,76.3,44
重要犯罪,強盗,,2006年,静岡県,,87,57,65.5,66
重要犯罪,強盗,,2006年,中部管区,,599,310,51.8,431
重要犯罪,強盗,,2006年,富山県,,8,7,87.5,14
重要犯罪,強盗,,2006年,石川県,,15,9,60,19
重要犯罪,強盗,,2006年,福井県,,18,14,77.8,18
重要犯罪,強盗,,2006年,岐阜県,,64,40,62.5,62
重要犯罪,強盗,,2006年,愛知県,,451,213,47.2,280
重要犯罪,強盗,,2006年,三重県,,43,27,62.8,38
重要犯罪,強盗,,2006年,近畿管区,,"1,215",623,51.3,654
重要犯罪,強盗,,2006年,滋賀県,,35,25,71.4,36
重要犯罪,強盗,,2006年,京都府,,83,54,65.1,51
重要犯罪,強盗,,2006年,大阪府,,720,350,48.6,342
重要犯罪,強盗,,2006年,兵庫県,,329,155,47.1,178
重要犯罪,強盗,,2006年,奈良県,,30,23,76.7,20
重要犯罪,強盗,,2006年,和歌山県,,18,16,88.9,27
重要犯罪,強盗,,2006年,中国管区,,137,105,76.6,127
重要犯罪,強盗,,2006年,鳥取県,,4,2,50,2
重要犯罪,強盗,,2006年,島根県,,7,5,71.4,5
重要犯罪,強盗,,2006年,岡山県,,31,23,74.2,44
重要犯罪,強盗,,2006年,広島県,,71,54,76.1,59
重要犯罪,強盗,,2006年,山口県,,24,21,87.5,17
重要犯罪,強盗,,2006年,四国管区,,86,65,75.6,65
重要犯罪,強盗,,2006年,徳島県,,9,7,77.8,5
重要犯罪,強盗,,2006年,香川県,,18,15,83.3,23
重要犯罪,強盗,,2006年,愛媛県,,31,32,103.2,25
重要犯罪,強盗,,2006年,高知県,,28,11,39.3,12
重要犯罪,強盗,,2006年,九州管区,,400,267,66.8,284
重要犯罪,強盗,,2006年,福岡県,,250,159,63.6,143
重要犯罪,強盗,,2006年,佐賀県,,13,8,61.5,12
重要犯罪,強盗,,2006年,長崎県,,14,11,78.6,15
重要犯罪,強盗,,2006年,熊本県,,36,23,63.9,29
重要犯罪,強盗,,2006年,大分県,,15,13,86.7,18
重要犯罪,強盗,,2006年,宮崎県,,9,9,100,15
重要犯罪,強盗,,2006年,鹿児島県,,18,13,72.2,16
重要犯罪,強盗,,2006年,沖縄県,,45,31,68.9,36
重要犯罪,侵入強盗,,2016年,全国,,811,624,76.9,612
重要犯罪,侵入強盗,,2016年,北海道,,31,31,100,26
重要犯罪,侵入強盗,,2016年,札幌方面,,19,17,89.5,12
重要犯罪,侵入強盗,,2016年,函館方面,,2,3,150,4
重要犯罪,侵入強盗,,2016年,旭川方面,,4,4,100,5
重要犯罪,侵入強盗,,2016年,釧路方面,,3,4,133.3,4
重要犯罪,侵入強盗,,2016年,北見方面,,3,3,100,1
重要犯罪,侵入強盗,,2016年,東北管区,,40,33,82.5,26
重要犯罪,侵入強盗,,2016年,青森県,,6,6,100,4
重要犯罪,侵入強盗,,2016年,岩手県,,3,3,100,4
重要犯罪,侵入強盗,,2016年,宮城県,,15,10,66.7,6
重要犯罪,侵入強盗,,2016年,秋田県,,2,2,100,2
重要犯罪,侵入強盗,,2016年,山形県,,0,1,0,1
重要犯罪,侵入強盗,,2016年,福島県,,14,11,78.6,9
重要犯罪,侵入強盗,,2016年,東京都,,77,58,75.3,55
重要犯罪,侵入強盗,,2016年,関東管区,,261,190,72.8,171
重要犯罪,侵入強盗,,2016年,茨城県,,31,23,74.2,20
重要犯罪,侵入強盗,,2016年,栃木県,,7,6,85.7,6
重要犯罪,侵入強盗,,2016年,群馬県,,14,8,57.1,7
重要犯罪,侵入強盗,,2016年,埼玉県,,58,53,91.4,47
重要犯罪,侵入強盗,,2016年,千葉県,,47,26,55.3,30
重要犯罪,侵入強盗,,2016年,神奈川県,,56,51,91.1,37
重要犯罪,侵入強盗,,2016年,新潟県,,10,7,70,5
重要犯罪,侵入強盗,,2016年,山梨県,,7,0,0,1
重要犯罪,侵入強盗,,2016年,長野県,,8,5,62.5,5
重要犯罪,侵入強盗,,2016年,静岡県,,23,11,47.8,13
重要犯罪,侵入強盗,,2016年,中部管区,,103,74,71.8,75
重要犯罪,侵入強盗,,2016年,富山県,,1,1,100,1
重要犯罪,侵入強盗,,2016年,石川県,,5,4,80,3
重要犯罪,侵入強盗,,2016年,福井県,,1,1,100,0
重要犯罪,侵入強盗,,2016年,岐阜県,,17,15,88.2,15
重要犯罪,侵入強盗,,2016年,愛知県,,64,42,65.6,46
重要犯罪,侵入強盗,,2016年,三重県,,15,11,73.3,10
重要犯罪,侵入強盗,,2016年,近畿管区,,208,167,80.3,179
重要犯罪,侵入強盗,,2016年,滋賀県,,7,6,85.7,11
重要犯罪,侵入強盗,,2016年,京都府,,18,15,83.3,15
重要犯罪,侵入強盗,,2016年,大阪府,,125,89,71.2,99
重要犯罪,侵入強盗,,2016年,兵庫県,,46,40,87,39
重要犯罪,侵入強盗,,2016年,奈良県,,5,10,200,8
重要犯罪,侵入強盗,,2016年,和歌山県,,7,7,100,7
重要犯罪,侵入強盗,,2016年,中国管区,,20,20,100,27
重要犯罪,侵入強盗,,2016年,鳥取県,,1,1,100,1
重要犯罪,侵入強盗,,2016年,島根県,,3,4,133.3,5
重要犯罪,侵入強盗,,2016年,岡山県,,4,4,100,3
重要犯罪,侵入強盗,,2016年,広島県,,6,6,100,10
重要犯罪,侵入強盗,,2016年,山口県,,6,5,83.3,8
重要犯罪,侵入強盗,,2016年,四国管区,,9,7,77.8,11
重要犯罪,侵入強盗,,2016年,徳島県,,0,0,0,0
重要犯罪,侵入強盗,,2016年,香川県,,1,1,100,5
重要犯罪,侵入強盗,,2016年,愛媛県,,4,3,75,3
重要犯罪,侵入強盗,,2016年,高知県,,4,3,75,3
重要犯罪,侵入強盗,,2016年,九州管区,,62,44,71,42
重要犯罪,侵入強盗,,2016年,福岡県,,23,17,73.9,17
重要犯罪,侵入強盗,,2016年,佐賀県,,4,2,50,3
重要犯罪,侵入強盗,,2016年,長崎県,,1,2,200,1
重要犯罪,侵入強盗,,2016年,熊本県,,6,5,83.3,4
重要犯罪,侵入強盗,,2016年,大分県,,3,1,33.3,1
重要犯罪,侵入強盗,,2016年,宮崎県,,5,2,40,3
重要犯罪,侵入強盗,,2016年,鹿児島県,,8,7,87.5,7
重要犯罪,侵入強盗,,2016年,沖縄県,,12,8,66.7,6
重要犯罪,侵入強盗,,2015年,全国,,790,684,86.6,632
重要犯罪,侵入強盗,,2015年,北海道,,28,23,82.1,22
重要犯罪,侵入強盗,,2015年,札幌方面,,18,16,88.9,16
重要犯罪,侵入強盗,,2015年,函館方面,,6,3,50,3
重要犯罪,侵入強盗,,2015年,旭川方面,,0,0,0,0
重要犯罪,侵入強盗,,2015年,釧路方面,,3,3,100,2
重要犯罪,侵入強盗,,2015年,北見方面,,1,1,100,1
重要犯罪,侵入強盗,,2015年,東北管区,,13,11,84.6,13
重要犯罪,侵入強盗,,2015年,青森県,,2,2,100,4
重要犯罪,侵入強盗,,2015年,岩手県,,3,2,66.7,2
重要犯罪,侵入強盗,,2015年,宮城県,,2,2,100,1
重要犯罪,侵入強盗,,2015年,秋田県,,3,2,66.7,2
重要犯罪,侵入強盗,,2015年,山形県,,0,0,0,0
重要犯罪,侵入強盗,,2015年,福島県,,3,3,100,4
重要犯罪,侵入強盗,,2015年,東京都,,84,81,96.4,78
重要犯罪,侵入強盗,,2015年,関東管区,,259,208,80.3,190
重要犯罪,侵入強盗,,2015年,茨城県,,34,24,70.6,23
重要犯罪,侵入強盗,,2015年,栃木県,,8,6,75,10
重要犯罪,侵入強盗,,2015年,群馬県,,15,10,66.7,10
重要犯罪,侵入強盗,,2015年,埼玉県,,60,39,65,33
重要犯罪,侵入強盗,,2015年,千葉県,,41,45,109.8,29
重要犯罪,侵入強盗,,2015年,神奈川県,,59,45,76.3,42
重要犯罪,侵入強盗,,2015年,新潟県,,8,9,112.5,5
重要犯罪,侵入強盗,,2015年,山梨県,,3,4,133.3,1
重要犯罪,侵入強盗,,2015年,長野県,,6,7,116.7,18
重要犯罪,侵入強盗,,2015年,静岡県,,25,19,76,19
重要犯罪,侵入強盗,,2015年,中部管区,,113,88,77.9,86
重要犯罪,侵入強盗,,2015年,富山県,,2,3,150,7
重要犯罪,侵入強盗,,2015年,石川県,,5,5,100,4
重要犯罪,侵入強盗,,2015年,福井県,,2,3,150,4
重要犯罪,侵入強盗,,2015年,岐阜県,,18,11,61.1,14
重要犯罪,侵入強盗,,2015年,愛知県,,76,60,78.9,51
重要犯罪,侵入強盗,,2015年,三重県,,10,6,60,6
重要犯罪,侵入強盗,,2015年,近畿管区,,171,145,84.8,124
重要犯罪,侵入強盗,,2015年,滋賀県,,6,8,133.3,8
重要犯罪,侵入強盗,,2015年,京都府,,14,8,57.1,11
重要犯罪,侵入強盗,,2015年,大阪府,,103,88,85.4,73
重要犯罪,侵入強盗,,2015年,兵庫県,,34,32,94.1,27
重要犯罪,侵入強盗,,2015年,奈良県,,10,6,60,5
重要犯罪,侵入強盗,,2015年,和歌山県,,4,3,75,0
重要犯罪,侵入強盗,,2015年,中国管区,,33,31,93.9,34
重要犯罪,侵入強盗,,2015年,鳥取県,,3,3,100,3
重要犯罪,侵入強盗,,2015年,島根県,,2,1,50,1
重要犯罪,侵入強盗,,2015年,岡山県,,5,6,120,6
重要犯罪,侵入強盗,,2015年,広島県,,12,10,83.3,13
重要犯罪,侵入強盗,,2015年,山口県,,11,11,100,11
重要犯罪,侵入強盗,,2015年,四国管区,,16,15,93.8,13
重要犯罪,侵入強盗,,2015年,徳島県,,2,2,100,2
重要犯罪,侵入強盗,,2015年,香川県,,5,5,100,7
重要犯罪,侵入強盗,,2015年,愛媛県,,7,7,100,2
重要犯罪,侵入強盗,,2015年,高知県,,2,1,50,2
重要犯罪,侵入強盗,,2015年,九州管区,,73,82,112.3,72
重要犯罪,侵入強盗,,2015年,福岡県,,39,47,120.5,38
重要犯罪,侵入強盗,,2015年,佐賀県,,3,2,66.7,1
重要犯罪,侵入強盗,,2015年,長崎県,,2,2,100,2
重要犯罪,侵入強盗,,2015年,熊本県,,3,5,166.7,5
重要犯罪,侵入強盗,,2015年,大分県,,6,6,100,6
重要犯罪,侵入強盗,,2015年,宮崎県,,1,1,100,2
重要犯罪,侵入強盗,,2015年,鹿児島県,,7,8,114.3,7
重要犯罪,侵入強盗,,2015年,沖縄県,,12,11,91.7,11
重要犯罪,侵入強盗,,2014年,全国,,"1,195",867,72.6,729
重要犯罪,侵入強盗,,2014年,北海道,,59,50,84.7,37
重要犯罪,侵入強盗,,2014年,札幌方面,,41,35,85.4,27
重要犯罪,侵入強盗,,2014年,函館方面,,5,3,60,1
重要犯罪,侵入強盗,,2014年,旭川方面,,2,7,350,5
重要犯罪,侵入強盗,,2014年,釧路方面,,8,3,37.5,2
重要犯罪,侵入強盗,,2014年,北見方面,,3,2,66.7,2
重要犯罪,侵入強盗,,2014年,東北管区,,23,12,52.2,14
重要犯罪,侵入強盗,,2014年,青森県,,5,4,80,4
重要犯罪,侵入強盗,,2014年,岩手県,,2,2,100,2
重要犯罪,侵入強盗,,2014年,宮城県,,7,2,28.6,3
重要犯罪,侵入強盗,,2014年,秋田県,,1,1,100,2
重要犯罪,侵入強盗,,2014年,山形県,,1,1,100,1
重要犯罪,侵入強盗,,2014年,福島県,,7,2,28.6,2
重要犯罪,侵入強盗,,2014年,東京都,,147,124,84.4,103
重要犯罪,侵入強盗,,2014年,関東管区,,446,311,69.7,222
重要犯罪,侵入強盗,,2014年,茨城県,,48,33,68.8,31
重要犯罪,侵入強盗,,2014年,栃木県,,22,17,77.3,12
重要犯罪,侵入強盗,,2014年,群馬県,,15,12,80,10
重要犯罪,侵入強盗,,2014年,埼玉県,,109,69,63.3,43
重要犯罪,侵入強盗,,2014年,千葉県,,104,69,66.3,43
重要犯罪,侵入強盗,,2014年,神奈川県,,87,62,71.3,36
重要犯罪,侵入強盗,,2014年,新潟県,,15,9,60,7
重要犯罪,侵入強盗,,2014年,山梨県,,5,1,20,1
重要犯罪,侵入強盗,,2014年,長野県,,9,10,111.1,5
重要犯罪,侵入強盗,,2014年,静岡県,,32,29,90.6,34
重要犯罪,侵入強盗,,2014年,中部管区,,127,82,64.6,93
重要犯罪,侵入強盗,,2014年,富山県,,7,4,57.1,3
重要犯罪,侵入強盗,,2014年,石川県,,3,0,0,1
重要犯罪,侵入強盗,,2014年,福井県,,4,4,100,10
重要犯罪,侵入強盗,,2014年,岐阜県,,16,15,93.8,14
重要犯罪,侵入強盗,,2014年,愛知県,,81,48,59.3,54
重要犯罪,侵入強盗,,2014年,三重県,,16,11,68.8,11
重要犯罪,侵入強盗,,2014年,近畿管区,,244,175,71.7,138
重要犯罪,侵入強盗,,2014年,滋賀県,,10,5,50,6
重要犯罪,侵入強盗,,2014年,京都府,,22,18,81.8,21
重要犯罪,侵入強盗,,2014年,大阪府,,132,112,84.8,77
重要犯罪,侵入強盗,,2014年,兵庫県,,59,29,49.2,24
重要犯罪,侵入強盗,,2014年,奈良県,,14,7,50,4
重要犯罪,侵入強盗,,2014年,和歌山県,,7,4,57.1,6
重要犯罪,侵入強盗,,2014年,中国管区,,26,22,84.6,23
重要犯罪,侵入強盗,,2014年,鳥取県,,1,0,0,0
重要犯罪,侵入強盗,,2014年,島根県,,4,4,100,4
重要犯罪,侵入強盗,,2014年,岡山県,,6,5,83.3,5
重要犯罪,侵入強盗,,2014年,広島県,,8,7,87.5,8
重要犯罪,侵入強盗,,2014年,山口県,,7,6,85.7,6
重要犯罪,侵入強盗,,2014年,四国管区,,16,16,100,24
重要犯罪,侵入強盗,,2014年,徳島県,,4,4,100,4
重要犯罪,侵入強盗,,2014年,香川県,,6,5,83.3,15
重要犯罪,侵入強盗,,2014年,愛媛県,,3,2,66.7,2
重要犯罪,侵入強盗,,2014年,高知県,,3,5,166.7,3
重要犯罪,侵入強盗,,2014年,九州管区,,107,75,70.1,75
重要犯罪,侵入強盗,,2014年,福岡県,,63,41,65.1,36
重要犯罪,侵入強盗,,2014年,佐賀県,,7,6,85.7,4
重要犯罪,侵入強盗,,2014年,長崎県,,3,3,100,3
重要犯罪,侵入強盗,,2014年,熊本県,,4,1,25,1
重要犯罪,侵入強盗,,2014年,大分県,,5,5,100,5
重要犯罪,侵入強盗,,2014年,宮崎県,,3,3,100,3
重要犯罪,侵入強盗,,2014年,鹿児島県,,10,7,70,14
重要犯罪,侵入強盗,,2014年,沖縄県,,12,9,75,9
重要犯罪,侵入強盗,,2013年,全国,,"1,254",839,66.9,723
重要犯罪,侵入強盗,,2013年,北海道,,58,36,62.1,27
重要犯罪,侵入強盗,,2013年,札幌方面,,41,24,58.5,17
重要犯罪,侵入強盗,,2013年,函館方面,,7,5,71.4,4
重要犯罪,侵入強盗,,2013年,旭川方面,,4,2,50,2
重要犯罪,侵入強盗,,2013年,釧路方面,,5,4,80,4
重要犯罪,侵入強盗,,2013年,北見方面,,1,1,100,0
重要犯罪,侵入強盗,,2013年,東北管区,,26,19,73.1,20
重要犯罪,侵入強盗,,2013年,青森県,,3,1,33.3,1
重要犯罪,侵入強盗,,2013年,岩手県,,1,0,0,2
重要犯罪,侵入強盗,,2013年,宮城県,,11,11,100,11
重要犯罪,侵入強盗,,2013年,秋田県,,1,1,100,0
重要犯罪,侵入強盗,,2013年,山形県,,1,1,100,0
重要犯罪,侵入強盗,,2013年,福島県,,9,5,55.6,6
重要犯罪,侵入強盗,,2013年,東京都,,144,112,77.8,89
重要犯罪,侵入強盗,,2013年,関東管区,,427,283,66.3,226
重要犯罪,侵入強盗,,2013年,茨城県,,38,27,71.1,18
重要犯罪,侵入強盗,,2013年,栃木県,,21,19,90.5,23
重要犯罪,侵入強盗,,2013年,群馬県,,14,5,35.7,6
重要犯罪,侵入強盗,,2013年,埼玉県,,84,60,71.4,49
重要犯罪,侵入強盗,,2013年,千葉県,,81,59,72.8,35
重要犯罪,侵入強盗,,2013年,神奈川県,,100,69,69,49
重要犯罪,侵入強盗,,2013年,新潟県,,22,9,40.9,9
重要犯罪,侵入強盗,,2013年,山梨県,,11,4,36.4,3
重要犯罪,侵入強盗,,2013年,長野県,,6,3,50,3
重要犯罪,侵入強盗,,2013年,静岡県,,50,28,56,31
重要犯罪,侵入強盗,,2013年,中部管区,,174,109,62.6,88
重要犯罪,侵入強盗,,2013年,富山県,,2,2,100,3
重要犯罪,侵入強盗,,2013年,石川県,,3,3,100,4
重要犯罪,侵入強盗,,2013年,福井県,,5,3,60,3
重要犯罪,侵入強盗,,2013年,岐阜県,,26,14,53.8,14
重要犯罪,侵入強盗,,2013年,愛知県,,122,73,59.8,55
重要犯罪,侵入強盗,,2013年,三重県,,16,14,87.5,9
重要犯罪,侵入強盗,,2013年,近畿管区,,270,168,62.2,139
重要犯罪,侵入強盗,,2013年,滋賀県,,12,8,66.7,5
重要犯罪,侵入強盗,,2013年,京都府,,35,24,68.6,19
重要犯罪,侵入強盗,,2013年,大阪府,,152,90,59.2,86
重要犯罪,侵入強盗,,2013年,兵庫県,,60,38,63.3,23
重要犯罪,侵入強盗,,2013年,奈良県,,5,5,100,2
重要犯罪,侵入強盗,,2013年,和歌山県,,6,3,50,4
重要犯罪,侵入強盗,,2013年,中国管区,,39,29,74.4,27
重要犯罪,侵入強盗,,2013年,鳥取県,,2,2,100,2
重要犯罪,侵入強盗,,2013年,島根県,,1,1,100,1
重要犯罪,侵入強盗,,2013年,岡山県,,4,4,100,6
重要犯罪,侵入強盗,,2013年,広島県,,22,15,68.2,14
重要犯罪,侵入強盗,,2013年,山口県,,10,7,70,4
重要犯罪,侵入強盗,,2013年,四国管区,,21,21,100,20
重要犯罪,侵入強盗,,2013年,徳島県,,3,2,66.7,2
重要犯罪,侵入強盗,,2013年,香川県,,2,3,150,3
重要犯罪,侵入強盗,,2013年,愛媛県,,11,10,90.9,9
重要犯罪,侵入強盗,,2013年,高知県,,5,6,120,6
重要犯罪,侵入強盗,,2013年,九州管区,,95,62,65.3,87
重要犯罪,侵入強盗,,2013年,福岡県,,61,39,63.9,48
重要犯罪,侵入強盗,,2013年,佐賀県,,4,0,0,5
重要犯罪,侵入強盗,,2013年,長崎県,,2,1,50,1
重要犯罪,侵入強盗,,2013年,熊本県,,5,4,80,6
重要犯罪,侵入強盗,,2013年,大分県,,0,0,-,0
重要犯罪,侵入強盗,,2013年,宮崎県,,3,4,133.3,10
重要犯罪,侵入強盗,,2013年,鹿児島県,,6,5,83.3,5
重要犯罪,侵入強盗,,2013年,沖縄県,,14,9,64.3,12
重要犯罪,侵入強盗,,2012年,全国,,"1,372",933,68,803
重要犯罪,侵入強盗,,2012年,北海道,,59,36,61,39
重要犯罪,侵入強盗,,2012年,札幌方面,,42,22,52.4,21
重要犯罪,侵入強盗,,2012年,函館方面,,1,1,100,1
重要犯罪,侵入強盗,,2012年,旭川方面,,8,10,125,14
重要犯罪,侵入強盗,,2012年,釧路方面,,6,2,33.3,2
重要犯罪,侵入強盗,,2012年,北見方面,,2,1,50,1
重要犯罪,侵入強盗,,2012年,東北管区,,26,17,65.4,24
重要犯罪,侵入強盗,,2012年,青森県,,2,0,0,0
重要犯罪,侵入強盗,,2012年,岩手県,,0,1,0,5
重要犯罪,侵入強盗,,2012年,宮城県,,14,9,64.3,8
重要犯罪,侵入強盗,,2012年,秋田県,,2,2,100,2
重要犯罪,侵入強盗,,2012年,山形県,,1,0,0,1
重要犯罪,侵入強盗,,2012年,福島県,,7,5,71.4,8
重要犯罪,侵入強盗,,2012年,東京都,,173,115,66.5,116
重要犯罪,侵入強盗,,2012年,関東管区,,490,325,66.3,254
重要犯罪,侵入強盗,,2012年,茨城県,,45,24,53.3,20
重要犯罪,侵入強盗,,2012年,栃木県,,21,14,66.7,17
重要犯罪,侵入強盗,,2012年,群馬県,,28,23,82.1,15
重要犯罪,侵入強盗,,2012年,埼玉県,,103,63,61.2,37
重要犯罪,侵入強盗,,2012年,千葉県,,92,55,59.8,53
重要犯罪,侵入強盗,,2012年,神奈川県,,151,100,66.2,65
